Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
MH210,Pharmaceutical and Biomedical Chemistry,510,,487,,446,466
MH212,Science|Maths and Computer Science|Mathematics (wi,452,443,422,,444,476
MH304,Engineering (Computer/Electronic/Communications),351,351,333,333,371,423
MH305,Product Design,326,,357,,358,411
MH306,Robotics and Intelligent Devices,362,,361,,361,424
MH401,Finance (options),370,,357,,352,392
MH402,Quantitative Finance,476,,476,,476,487
MH403,Accounting and Finance,424,,422,,402,432
MH404,Business (options),441,,430,,400,429
MH407,Business and Accounting,423,,420,,401,420
MH411,Entrepreneurship,378,,371,,358,388
MH501,LLB Law - four year Single Major Law programme,507,,473,,451,476
MH502,Law (options),465,,451,,410,442
MH601,Computer Science through Arts (options),381,,352,,342,369
MH602,Computer Science through Science (options),400,,351,,357,413
MH603,Computational Thinking,520,,532,,520,543
MH801,Early Childhood - Teaching and Learning (part-time,,,327,,347,358
MH802,Community and Youth Work (part-time  in service),,,,,,
MH803,Local Studies/Community Studies (part-time  evenin,,,,,,
AS001,Education  Home Economics and Biology - with concu,542,533,510,,456,497
AS002,Education  Home Economics and Religious Ed - with,464,452,441,434,400,433
AS003,Education  Home Economics and Irish - with concurr,463,457,440,440,421,457
AS051,Nutrition  Food and Business Management,378,347,328,317,337,399
AS054,Home Economics,440,419,408,398,387,401
AS110,General Nursing,440,432,419,,391,409
AS130,Intellectual Disability Nursing,387,358,336,328,317,338
SG141,Business,262,,261,,252,317
SG145,Business and ICT,279,,,,,
SG146,Accounting,304,,309,,307,347
SG147,Sport with Business,288,,307,,269,316
SG148,Tourism with Event Management,298,,269,,246,282
SG150,Business in Marketing,298,,,,,
SG241,Performing Arts,341,,328,,279,348
SG242,Early Childhood Care and Education,287,,279,,278,318
SG243,Social Care Practice,309,,301,,297,338
SG244,Fine Art,501,,505,,355,496
SG245,Creative Design,332,,282,,261,338
SG246,Computing,316,,290,,295,368
SG247,English and Psychology,319,,309,,308,336
SG248,Sociology and Politics,298,,281,,282,320
SG249,Writing and Literature,308,,297,,279,338
SG252,Software Development,310,,307,,300,354
SG253,Computing in Computer Networks and Cyber Security,336,,324,,273,341
SG254,Writing and Literature Online,327,,225,225,,
SG255,Law and Business,291,,,,,
SG341,General Engineering,373,,,,,
SG342,Civil Engineering,418,,415,,,
SG343,Quantity Surveying,300,,311,,261,302
SG344,Mechanical Engineering,412,,,,,
SG346,Construction Project Management and Applied Techno,313,,291,,289,351
SG347,Architecture,403,,360,,309,357
SG348,Interior Architecture and Design,359,,316,,,
SG349,Electronics and Self Driving Technologies,,,,,,
SG350,Robotics and Automation,384,,,,,
SG442,Occupational Safety and Health,307,,290,,289,330
SG443,Human Nutrition,376,,356,,357,419
SG444,Science Undenominated,358,,338,,308,369
SG445,Pharmaceutical Science with Drug Development,357,,311,,347,369
SG447,Health Science and Physical Activity,326,,328,,316,363
SG448,Forensic Investigation and Analysis,308,,306,,306,348
SG449,Medical Biotechnology,315,,341,,329,352
SG450,Environmental Science with Ecology (Level 8),310,,300,,,
TL801,Animation  Visual Effects and Motion Design (Level,718,,281,,281,341
TL802,TV  Radio and New Media (Level 8),322,,325,,306,356
TL810,Computing with Software Development,308,,310,,309,341
TL811,Computing with Games Development,322,,358,,310,334
TL815,Computing (Degree Award options),307,,308,,308,378
TL823,Event Management (3 year programme),293,,299,,291,346
TL831,Business Studies (Major Specialism in: Acctng or M,306,,306,,307,372
TL842,Construction Management,,,,,,
TL844,Agricultural Engineering,301,,300,,311,368
TL845,Civil Engineering,361,,325,,300,364
TL847,Manufacturing Engineering,305,,302,,,
TL848,Agricultural Science,307,,308,,331,362
TL851,Wildlife Biology (Degree Award options),309,,309,,310,362
TL855,Pharmaceutical Science (Degree Award options),316,,317,,342,386
TL858,Veterinary Bioscience,317,,308,,326,369
TL871,Health and Leisure (Degree Award options),303,,300,,303,346
TL872,Health and Leisure with Massage,314,,309,,288,357
